CN,INVYR,LICHEN_REGION,LICH_SPPCD,MEASYEAR,LICHEN_REGION_DESCR,SPP_ACRONYM,GENUS,SUM_ABUNDANCE,FREQUENCY_PCT,SPECIES,PLOTS_IN_REGION,CREATED_DATE,MODIFIED_DATE
43859819020004,2004,3,603,2004,Interior West                           ,Brycap,Bryoria                                 ,26.0,4,capillaris                              ,251,2012-06-19 19:11:05,
43859820020004,2004,3,607,2004,Interior West                           ,Bryfre,Bryoria                                 ,26.0,4,fremontii                               ,251,2012-06-19 19:11:05,
43859821020004,2004,3,610,2004,Interior West                           ,Bryfus,Bryoria                                 ,121.0,18,fuscescens                              ,251,2012-06-19 19:11:05,
43859822020004,2004,3,618,2004,Interior West                           ,Brypse,Bryoria                                 ,36.0,5,pseudofuscescens                        ,251,2012-06-19 19:11:05,
43859823020004,2004,3,1005,2004,Interior West                           ,Cetchl,Cetraria                                ,40.0,6,chlorophylla                            ,251,2012-06-19 19:11:05,
43859824020004,2004,3,1008,2004,Interior West                           ,Cetfen,Tuckermanella                           ,13.0,2,fendleri                                ,251,2012-06-19 19:11:05,
43859825020004,2004,3,1011,2004,Interior West                           ,Cetmer,Cetraria                                ,15.0,2,merrillii                               ,251,2012-06-19 19:11:05,
43859826020004,2004,3,1013,2004,Interior West                           ,Cetorb,Cetraria                                ,49.0,8,orbata                                  ,251,2012-06-19 19:11:05,
43859827020004,2004,3,1016,2004,Interior West                           ,Cetpla,Cetraria                                ,46.0,7,platyphylla                             ,251,2012-06-19 19:11:05,
43859828020004,2004,3,1021,2004,Interior West                           ,Cetweb,Tuckermanella                           ,2.0,0,weberi                                  ,251,2012-06-19 19:11:05,
43859829020004,2004,3,1208,2004,Interior West                           ,Clacar,Cladonia                                ,15.0,2,carneola                                ,251,2012-06-19 19:11:05,
43859830020004,2004,3,1210,2004,Interior West                           ,Clachl,Cladonia                                ,9.0,2,chlorophaea                             ,251,2012-06-19 19:11:05,
43859831020004,2004,3,1217,2004,Interior West                           ,Clafim,Cladonia                                ,25.0,4,fimbriata                               ,251,2012-06-19 19:11:05,
43859832020004,2004,3,1228,2004,Interior West                           ,Claoch,Cladonia                                ,38.0,5,ochrochlora                             ,251,2012-06-19 19:11:05,
43859833020004,2004,3,1233,2004,Interior West                           ,Clapyx,Cladonia                                ,2.0,0,pyxidata                                ,251,2012-06-19 19:11:05,
43859834020004,2004,3,1239,2004,Interior West                           ,Clasul,Cladonia                                ,2.0,0,sulphurina                              ,251,2012-06-19 19:11:05,
43859835020004,2004,3,1241,2004,Interior West                           ,Claumb,Cladonia                                ,3.0,0,umbricola                               ,251,2012-06-19 19:11:05,
43859836020004,2004,3,1248,2004,Interior West                           ,Claver,Cladonia                                ,2.0,0,verruculosa                             ,251,2012-06-19 19:11:05,
43859837020004,2004,3,1250,2004,Interior West                           ,Clanor,Cladonia                                ,6.0,1,norvegica                               ,251,2012-06-19 19:11:05,
43859838020004,2004,3,1409,2004,Interior West                           ,Colfur,Collema                                 ,2.0,0,furfuraceum                             ,251,2012-06-19 19:11:05,
43859839020004,2004,3,1415,2004,Interior West                           ,Colsub,Collema                                 ,3.0,0,subflaccidum                            ,251,2012-06-19 19:11:05,
43859840020004,2004,3,2301,2004,Interior West                           ,Essida,Esslingeriana                           ,15.0,3,idahoensis                              ,251,2012-06-19 19:11:05,
43859841020004,2004,3,2404,2004,Interior West                           ,Evepru,Evernia                                 ,18.0,4,prunastri                               ,251,2012-06-19 19:11:05,
43859842020004,2004,3,2603,2004,Interior West                           ,Flabal,Flavoparmelia                           ,2.0,0,baltimorensis                           ,251,2012-06-19 19:11:05,
43859843020004,2004,3,2700,2004,Interior West                           ,Fpu   ,Flavopunctelia                          ,1.0,0,,251,2012-06-19 19:11:05,
43859844020004,2004,3,2701,2004,Interior West                           ,Fpudar,Flavopunctelia                          ,9.0,2,darrowi                                 ,251,2012-06-19 19:11:05,
43859845020004,2004,3,2703,2004,Interior West                           ,Fpupra,Flavopunctelia                          ,3.0,0,praesignis                              ,251,2012-06-19 19:11:05,
43859846020004,2004,3,2704,2004,Interior West                           ,Fpusor,Flavopunctelia                          ,71.0,11,soredica                                ,251,2012-06-19 19:11:05,
43859847020004,2004,3,2820,2004,Interior West                           ,Hetrug,Heterodermia                            ,9.0,1,rugulosa                                ,251,2012-06-19 19:11:05,
43859848020004,2004,3,2901,2004,Interior West                           ,Hphadg,Hyperphyscia                            ,13.0,2,adglutinata                             ,251,2012-06-19 19:11:05,
43859849020004,2004,3,3101,2004,Interior West                           ,Hypapi,Hypogymnia                              ,4.0,1,apinnata                                ,251,2012-06-19 19:11:05,
43859850020004,2004,3,3102,2004,Interior West                           ,Hypaus,Hypogymnia                              ,11.0,2,austerodes                              ,251,2012-06-19 19:11:05,
43859851020004,2004,3,3105,2004,Interior West                           ,Hypent,Hypogymnia                              ,4.0,1,enteromorpha                            ,251,2012-06-19 19:11:05,
43859852020004,2004,3,3108,2004,Interior West                           ,Hypims,Hypogymnia                              ,79.0,12,imshaugii                               ,251,2012-06-19 19:11:05,
43859853020004,2004,3,3109,2004,Interior West                           ,Hypina,Hypogymnia                              ,2.0,0,inactiva                                ,251,2012-06-19 19:11:05,
43859854020004,2004,3,3112,2004,Interior West                           ,Hypmet,Hypogymnia                              ,16.0,2,metaphysodes                            ,251,2012-06-19 19:11:05,
43859855020004,2004,3,3114,2004,Interior West                           ,Hypocc,Hypogymnia                              ,42.0,6,occidentalis                            ,251,2012-06-19 19:11:05,
43859856020004,2004,3,3116,2004,Interior West                           ,Hypphy,Hypogymnia                              ,51.0,7,physodes                                ,251,2012-06-19 19:11:05,
43859857020004,2004,3,3119,2004,Interior West                           ,Hyprug,Hypogymnia                              ,4.0,1,rugosa                                  ,251,2012-06-19 19:11:05,
43859858020004,2004,3,3121,2004,Interior West                           ,Hyptub,Hypogymnia                              ,48.0,7,tubulosa                                ,251,2012-06-19 19:11:05,
43859859020004,2004,3,3214,2004,Interior West                           ,Htrpul,Hypotrachyna                            ,3.0,0,pulvinata                               ,251,2012-06-19 19:11:05,
43859860020004,2004,3,3301,2004,Interior West                           ,Imsale,Imshaugia                               ,3.0,0,aleurites                               ,251,2012-06-19 19:11:05,
43859861020004,2004,3,3302,2004,Interior West                           ,Imspla,Imshaugia                               ,11.0,2,placorodia                              ,251,2012-06-19 19:11:05,
43859862020004,2004,3,3602,2004,Interior West                           ,Lepars,Leptogium                               ,3.0,0,arsenei                                 ,251,2012-06-19 19:11:05,
43859863020004,2004,3,3616,2004,Interior West                           ,Lepfur,Leptogium                               ,7.0,1,pseudofurfuraceum                       ,251,2012-06-19 19:11:05,
43859864020004,2004,3,3628,2004,Interior West                           ,Lepmil,Leptogium                               ,3.0,0,milligranum                             ,251,2012-06-19 19:11:05,
43859865020004,2004,3,3631,2004,Interior West                           ,Lepsat,Leptogium                               ,6.0,1,saturninum                              ,251,2012-06-19 19:11:05,
43859866020004,2004,3,3701,2004,Interior West                           ,Letcol,Letharia                                ,36.0,5,columbiana                              ,251,2012-06-19 19:11:05,
43859867020004,2004,3,3702,2004,Interior West                           ,Letvul,Letharia                                ,97.0,14,vulpina                                 ,251,2012-06-19 19:11:05,
43859868020004,2004,3,3901,2004,Interior West                           ,Lobhal,Lobaria                                 ,2.0,0,hallii                                  ,251,2012-06-19 19:11:05,
43859869020004,2004,3,3905,2004,Interior West                           ,Lobpul,Lobaria                                 ,12.0,2,pulmonaria                              ,251,2012-06-19 19:11:05,
43859870020004,2004,3,4000,2004,Interior West                           ,Mel   ,Melanelia                               ,3.0,0,,251,2012-06-19 19:11:05,
43859871020004,2004,3,4002,2004,Interior West                           ,Melele,Melanohalea                             ,104.0,15,elegantula                              ,251,2012-06-19 19:11:05,
43859872020004,2004,3,4004,2004,Interior West                           ,Melexl,Melanohalea                             ,128.0,18,exasperatula                            ,251,2012-06-19 19:11:05,
43859873020004,2004,3,4005,2004,Interior West                           ,Melful,Melanelixia                             ,6.0,1,fuliginosa                              ,251,2012-06-19 19:11:05,
43859874020004,2004,3,4010,2004,Interior West                           ,Melmul,Melanohalea                             ,11.0,2,multispora                              ,251,2012-06-19 19:11:05,
43859875020004,2004,3,4016,2004,Interior West                           ,Melsel,Melanohalea                             ,12.0,2,subelegantula                           ,251,2012-06-19 19:11:05,
43859876020004,2004,3,4017,2004,Interior West                           ,Melsol,Melanohalea                             ,204.0,30,subolivacea                             ,251,2012-06-19 19:11:05,
43859877020004,2004,3,4021,2004,Interior West                           ,Meltom,Melanelia                               ,2.0,0,tominii                                 ,251,2012-06-19 19:11:05,
43859878020004,2004,3,4407,2004,Interior West                           ,Neppar,Nephroma                                ,3.0,0,parile                                  ,251,2012-06-19 19:11:05,
43859879020004,2004,3,4408,2004,Interior West                           ,Nepres,Nephroma                                ,8.0,1,resupinatum                             ,251,2012-06-19 19:11:05,
43859880020004,2004,3,4551,2004,Interior West                           ,Nodabb,Nodobryoria                             ,53.0,8,abbreviata                              ,251,2012-06-19 19:11:05,
43859881020004,2004,3,4552,2004,Interior West                           ,Nodore,Nodobryoria                             ,5.0,1,oregana                                 ,251,2012-06-19 19:11:05,
43859882020004,2004,3,4802,2004,Interior West                           ,Parhyg,Parmelia                                ,29.0,4,hygrophila                              ,251,2012-06-19 19:11:05,
43859883020004,2004,3,4806,2004,Interior West                           ,Parsul,Parmelia                                ,60.0,9,sulcata                                 ,251,2012-06-19 19:11:05,
43859884020004,2004,3,5201,2004,Interior West                           ,Popamb,Parmeliopsis                            ,114.0,16,ambigua                                 ,251,2012-06-19 19:11:05,
43859885020004,2004,3,5202,2004,Interior West                           ,Pophyp,Parmeliopsis                            ,60.0,9,hyperopta                               ,251,2012-06-19 19:11:05,
43859886020004,2004,3,5603,2004,Interior West                           ,Phacil,Phaeophyscia                            ,29.0,5,ciliata                                 ,251,2012-06-19 19:11:05,
43859887020004,2004,3,5605,2004,Interior West                           ,Phahir,Phaeophyscia                            ,104.0,15,hirsuta                                 ,251,2012-06-19 19:11:05,
43859888020004,2004,3,5607,2004,Interior West                           ,Phahis,Phaeophyscia                            ,2.0,0,hispidula                               ,251,2012-06-19 19:11:05,
43859889020004,2004,3,5611,2004,Interior West                           ,Phanig,Phaeophyscia                            ,3.0,0,nigricans                               ,251,2012-06-19 19:11:05,
43859890020004,2004,3,5612,2004,Interior West                           ,Phaorb,Phaeophyscia                            ,9.0,1,orbicularis                             ,251,2012-06-19 19:11:05,
43859891020004,2004,3,5615,2004,Interior West                           ,Phadec,Phaeophyscia                            ,1.0,0,decolor                                 ,251,2012-06-19 19:11:05,
43859892020004,2004,3,5700,2004,Interior West                           ,Phy   ,Physcia                                 ,4.0,1,,251,2012-06-19 19:11:05,
43859893020004,2004,3,5701,2004,Interior West                           ,Phyads,Physcia                                 ,95.0,14,adscendens                              ,251,2012-06-19 19:11:05,
43859894020004,2004,3,5702,2004,Interior West                           ,Phyaip,Physcia                                 ,53.0,8,aipolia                                 ,251,2012-06-19 19:11:05,
43859895020004,2004,3,5705,2004,Interior West                           ,Phybiz,Physcia                                 ,109.0,16,biziana                                 ,251,2012-06-19 19:11:05,
43859896020004,2004,3,5706,2004,Interior West                           ,Phycae,Physcia                                 ,1.0,0,caesia                                  ,251,2012-06-19 19:11:05,
43859897020004,2004,3,5710,2004,Interior West                           ,Phydim,Physcia                                 ,74.0,12,dimidiata                               ,251,2012-06-19 19:11:05,
43859898020004,2004,3,5711,2004,Interior West                           ,Phydub,Physcia                                 ,7.0,1,dubia                                   ,251,2012-06-19 19:11:05,
43859899020004,2004,3,5723,2004,Interior West                           ,Physte,Physcia                                 ,11.0,2,stellaris                               ,251,2012-06-19 19:11:05,
43859900020004,2004,3,5724,2004,Interior West                           ,Phyten,Physcia                                 ,3.0,0,tenella                                 ,251,2012-06-19 19:11:05,
43859901020004,2004,3,5801,2004,Interior West                           ,Pclchl,Physciella                              ,42.0,7,chloantha                               ,251,2012-06-19 19:11:05,
43859902020004,2004,3,5903,2004,Interior West                           ,Phoent,Physconia                               ,7.0,1,enteroxantha                            ,251,2012-06-19 19:11:05,
43859903020004,2004,3,5906,2004,Interior West                           ,Phoper,Physconia                               ,6.0,1,perisidiosa                             ,251,2012-06-19 19:11:05,
43859904020004,2004,3,5909,2004,Interior West                           ,Phoele,Physconia                               ,3.0,0,elegantula                              ,251,2012-06-19 19:11:05,
43859905020004,2004,3,6101,2004,Interior West                           ,Plagla,Platismatia                             ,46.0,7,glauca                                  ,251,2012-06-19 19:11:05,
43859906020004,2004,3,6105,2004,Interior West                           ,Plaste,Platismatia                             ,6.0,1,stenophylla                             ,251,2012-06-19 19:11:05,
43859907020004,2004,3,6303,2004,Interior West                           ,Pevint,Pseudevernia                            ,13.0,2,intensa                                 ,251,2012-06-19 19:11:05,
43859908020004,2004,3,6704,2004,Interior West                           ,Punhyp,Punctelia                               ,3.0,0,hypoleucites                            ,251,2012-06-19 19:11:05,
43859909020004,2004,3,6910,2004,Interior West                           ,Ramdil,Ramalina                                ,3.0,0,dilacerata                              ,251,2012-06-19 19:11:05,
43859910020004,2004,3,6912,2004,Interior West                           ,Ramfar,Ramalina                                ,4.0,1,farinacea                               ,251,2012-06-19 19:11:05,
43859911020004,2004,3,6930,2004,Interior West                           ,Ramsin,Ramalina                                ,9.0,2,sinensis                                ,251,2012-06-19 19:11:05,
43859912020004,2004,3,6937,2004,Interior West                           ,Ramthr,Ramalina                                ,2.0,0,thrausta                                ,251,2012-06-19 19:11:05,
43859913020004,2004,3,8000,2004,Interior West                           ,Usn   ,Usnea                                   ,6.0,1,,251,2012-06-19 19:11:05,
43859914020004,2004,3,8007,2004,Interior West                           ,Usnari,Usnea                                   ,3.0,0,arizonica                               ,251,2012-06-19 19:11:06,
43859915020004,2004,3,8013,2004,Interior West                           ,Usncav,Usnea                                   ,11.0,1,cavernosa                               ,251,2012-06-19 19:11:06,
43859916020004,2004,3,8029,2004,Interior West                           ,Usnfil,Usnea                                   ,16.0,3,filipendula                             ,251,2012-06-19 19:11:06,
43859917020004,2004,3,8041,2004,Interior West                           ,Usnhir,Usnea                                   ,68.0,11,hirta                                   ,251,2012-06-19 19:11:06,
43859918020004,2004,3,8044,2004,Interior West                           ,Usnlap,Usnea                                   ,126.0,20,lapponica                               ,251,2012-06-19 19:11:06,
43859919020004,2004,3,8065,2004,Interior West                           ,Usnsca,Usnea                                   ,5.0,1,scabrata                                ,251,2012-06-19 19:11:06,
43859920020004,2004,3,8077,2004,Interior West                           ,Usnsst,Usnea                                   ,14.0,2,substerilis                             ,251,2012-06-19 19:11:06,
43859921020004,2004,3,8151,2004,Interior West                           ,Vulcan,Vulpicida                               ,20.0,3,canadensis                              ,251,2012-06-19 19:11:06,
43859922020004,2004,3,8152,2004,Interior West                           ,Vulpin,Vulpicida                               ,5.0,1,pinastri                                ,251,2012-06-19 19:11:06,
43859923020004,2004,3,8200,2004,Interior West                           ,Xan   ,Xanthoria                               ,3.0,0,,251,2012-06-19 19:11:06,
43859924020004,2004,3,8201,2004,Interior West                           ,Xancan,Xanthoria                               ,3.0,0,candelaria                              ,251,2012-06-19 19:11:06,
43859925020004,2004,3,8203,2004,Interior West                           ,Xanfal,Xanthomendoza                           ,108.0,18,fallax                                  ,251,2012-06-19 19:11:06,
43859926020004,2004,3,8204,2004,Interior West                           ,Xanhas,Xanthomendoza                           ,12.0,2,hasseana                                ,251,2012-06-19 19:11:06,
43859927020004,2004,3,8207,2004,Interior West                           ,Xanpol,Xanthoria                               ,24.0,4,polycarpa                               ,251,2012-06-19 19:11:06,
43859928020004,2004,3,8210,2004,Interior West                           ,Xanful,Xanthomendoza                           ,28.0,4,fulva                                   ,251,2012-06-19 19:11:06,
43859929020004,2004,3,8214,2004,Interior West                           ,Xanmon,Xanthomendoza                           ,120.0,18,montana                                 ,251,2012-06-19 19:11:06,
43859930020004,2004,3,8218,2004,Interior West                           ,Xanulo,Xanthomendoza                           ,4.0,1,ulophyllodes                            ,251,2012-06-19 19:11:06,
43859931020004,2004,3,8219,2004,Interior West                           ,Xangal,Xanthomendoza                           ,33.0,5,galericulata                            ,251,2012-06-19 19:11:06,
43859932020004,2004,3,8301,2004,Interior West                           ,Cndcon,Candelaria                              ,6.0,1,concolor                                ,251,2012-06-19 19:11:06,
43859933020004,2004,3,8303,2004,Interior West                           ,Cndpac,Candelaria                              ,28.0,4,pacifica                                ,251,2012-06-19 19:11:06,
43859934020004,2004,3,9001,2004,Interior West                           ,Xpmcum,Xanthoparmelia                          ,5.0,1,cumberlandia                            ,251,2012-06-19 19:11:06,
43859935020004,2004,3,9003,2004,Interior West                           ,Xpmcol,Xanthoparmelia                          ,1.0,0,coloradensis                            ,251,2012-06-19 19:11:06,
43859936020004,2004,3,9004,2004,Interior West                           ,Xpmpli,Xanthoparmelia                          ,7.0,1,plittii                                 ,251,2012-06-19 19:11:06,
43859625020004,2005,3,4806,2005,Interior West                           ,Parsul,Parmelia                                ,61.0,9,sulcata                                 ,265,2012-06-19 19:10:45,
43859626020004,2005,3,5201,2005,Interior West                           ,Popamb,Parmeliopsis                            ,89.0,12,ambigua                                 ,265,2012-06-19 19:10:45,
43859627020004,2005,3,5202,2005,Interior West                           ,Pophyp,Parmeliopsis                            ,47.0,7,hyperopta                               ,265,2012-06-19 19:10:45,
43859628020004,2005,3,5603,2005,Interior West                           ,Phacil,Phaeophyscia                            ,7.0,1,ciliata                                 ,265,2012-06-19 19:10:45,
43859629020004,2005,3,5605,2005,Interior West                           ,Phahir,Phaeophyscia                            ,88.0,12,hirsuta                                 ,265,2012-06-19 19:10:45,
43859630020004,2005,3,5700,2005,Interior West                           ,Phy   ,Physcia                                 ,6.0,1,,265,2012-06-19 19:10:45,
43859631020004,2005,3,5701,2005,Interior West                           ,Phyads,Physcia                                 ,67.0,9,adscendens                              ,265,2012-06-19 19:10:45,
43859632020004,2005,3,5702,2005,Interior West                           ,Phyaip,Physcia                                 ,16.0,2,aipolia                                 ,265,2012-06-19 19:10:45,
43859633020004,2005,3,5705,2005,Interior West                           ,Phybiz,Physcia                                 ,70.0,9,biziana                                 ,265,2012-06-19 19:10:45,
43859634020004,2005,3,5710,2005,Interior West                           ,Phydim,Physcia                                 ,137.0,23,dimidiata                               ,265,2012-06-19 19:10:45,
43859635020004,2005,3,5711,2005,Interior West                           ,Phydub,Physcia                                 ,5.0,1,dubia                                   ,265,2012-06-19 19:10:45,
43859636020004,2005,3,5723,2005,Interior West                           ,Physte,Physcia                                 ,27.0,4,stellaris                               ,265,2012-06-19 19:10:45,
43859637020004,2005,3,5801,2005,Interior West                           ,Pclchl,Physciella                              ,12.0,2,chloantha                               ,265,2012-06-19 19:10:45,
43859638020004,2005,3,5903,2005,Interior West                           ,Phoent,Physconia                               ,4.0,1,enteroxantha                            ,265,2012-06-19 19:10:45,
43859639020004,2005,3,5909,2005,Interior West                           ,Phoele,Physconia                               ,4.0,0,elegantula                              ,265,2012-06-19 19:10:45,
43859640020004,2005,3,6101,2005,Interior West                           ,Plagla,Platismatia                             ,53.0,7,glauca                                  ,265,2012-06-19 19:10:45,
43859641020004,2005,3,6303,2005,Interior West                           ,Pevint,Pseudevernia                            ,3.0,0,intensa                                 ,265,2012-06-19 19:10:45,
43859642020004,2005,3,6910,2005,Interior West                           ,Ramdil,Ramalina                                ,3.0,0,dilacerata                              ,265,2012-06-19 19:10:45,
43859643020004,2005,3,6912,2005,Interior West                           ,Ramfar,Ramalina                                ,4.0,1,farinacea                               ,265,2012-06-19 19:10:45,
43859644020004,2005,3,6930,2005,Interior West                           ,Ramsin,Ramalina                                ,2.0,0,sinensis                                ,265,2012-06-19 19:10:45,
43859645020004,2005,3,6937,2005,Interior West                           ,Ramthr,Ramalina                                ,3.0,0,thrausta                                ,265,2012-06-19 19:10:45,
43859646020004,2005,3,8013,2005,Interior West                           ,Usncav,Usnea                                   ,4.0,0,cavernosa                               ,265,2012-06-19 19:10:45,
43859647020004,2005,3,8019,2005,Interior West                           ,Usncor,Usnea                                   ,4.0,0,cornuta                                 ,265,2012-06-19 19:10:45,
43859648020004,2005,3,8036,2005,Interior West                           ,Usngla,Usnea                                   ,3.0,0,glabrata                                ,265,2012-06-19 19:10:45,
43859649020004,2005,3,8041,2005,Interior West                           ,Usnhir,Usnea                                   ,39.0,6,hirta                                   ,265,2012-06-19 19:10:45,
43859650020004,2005,3,8044,2005,Interior West                           ,Usnlap,Usnea                                   ,37.0,6,lapponica                               ,265,2012-06-19 19:10:45,
43859651020004,2005,3,8065,2005,Interior West                           ,Usnsca,Usnea                                   ,13.0,2,scabrata                                ,265,2012-06-19 19:10:45,
43859652020004,2005,3,8077,2005,Interior West                           ,Usnsst,Usnea                                   ,11.0,2,substerilis                             ,265,2012-06-19 19:10:45,
43860498020004,2001,3,609,2001,Interior West                           ,Bryfur,Bryoria                                 ,3.0,1,furcellata                              ,85,2012-06-19 19:11:58,
43860499020004,2001,3,1008,2001,Interior West                           ,Cetfen,Tuckermanella                           ,25.0,9,fendleri                                ,85,2012-06-19 19:11:58,
43860500020004,2001,3,1021,2001,Interior West                           ,Cetweb,Tuckermanella                           ,3.0,1,weberi                                  ,85,2012-06-19 19:11:58,
43860501020004,2001,3,1200,2001,Interior West                           ,Cla   ,Cladonia                                ,3.0,1,,85,2012-06-19 19:11:58,
43860502020004,2001,3,1211,2001,Interior West                           ,Clacon,Cladonia                                ,3.0,1,coniocraea                              ,85,2012-06-19 19:11:58,
43860503020004,2001,3,2701,2001,Interior West                           ,Fpudar,Flavopunctelia                          ,7.0,2,darrowi                                 ,85,2012-06-19 19:11:58,
43860504020004,2001,3,2703,2001,Interior West                           ,Fpupra,Flavopunctelia                          ,3.0,1,praesignis                              ,85,2012-06-19 19:11:58,
